State	County	Start date	End date	Average M/R
Idaho	ada	04/22/2020	05/31/2020	0.02634116366943199
Oklahoma	adair	04/22/2020	05/21/2020	0.04545889330089469
Idaho	adams	04/22/2020	05/31/2020	0
Washington	adams	04/22/2020	05/31/2020	0
North Carolina	alamance	04/22/2020	05/31/2020	0.038710135888171474
North Carolina	alexander	04/22/2020	05/31/2020	0
Oklahoma	alfalfa	04/22/2020	05/21/2020	0
North Carolina	alleghany	04/22/2020	05/31/2020	0
Texas	anderson	04/22/2020	05/31/2020	0
Texas	andrews	04/22/2020	05/31/2020	0
Texas	angelina	04/22/2020	05/31/2020	0.0060936248347024475
North Carolina	anson	04/22/2020	05/31/2020	0.0019597161910669975
Texas	aransas	04/22/2020	05/31/2020	0
Texas	armstrong	04/22/2020	05/31/2020	0
North Carolina	ashe	04/22/2020	05/31/2020	0
Washington	asotin	04/22/2020	05/31/2020	0.10748209371467884
Texas	atascosa	04/22/2020	05/31/2020	0.04967943956430798
Oklahoma	atoka	04/22/2020	05/21/2020	0
Texas	austin	04/22/2020	05/31/2020	0
Texas	bandera	04/22/2020	05/31/2020	0
Idaho	bannock	04/22/2020	05/31/2020	0
West Virginia	barbour	04/22/2020	06/10/2020	0.15456349206349207
Texas	bastrop	04/22/2020	05/31/2020	0.020297113046692444
Utah	bear river	04/22/2020	06/10/2020	0.012327971477347897
North Carolina	beaufort	04/22/2020	05/31/2020	0
Oklahoma	beaver	04/22/2020	05/21/2020	0
Oklahoma	beckham	04/22/2020	05/21/2020	0
Texas	bee	04/22/2020	05/31/2020	0
Texas	bell	04/22/2020	05/31/2020	0.013555252669599454
Oregon	benton	04/22/2020	05/31/2020	0.12183700888861662
Washington	benton	04/22/2020	05/31/2020	0.09568475244044364
West Virginia	berkeley	04/22/2020	06/10/2020	0.01940069760624842
North Carolina	bertie	04/22/2020	05/31/2020	0.037685878907779406
Texas	bexar	04/22/2020	05/31/2020	0.03002643115921081
Idaho	bingham	04/22/2020	05/31/2020	0
North Carolina	bladen	04/22/2020	05/31/2020	0.013838192034880705
Idaho	blaine	04/22/2020	05/31/2020	0.00995433693519685
Texas	blanco	04/22/2020	05/31/2020	0.004772727272727273
Idaho	bonner	04/22/2020	05/31/2020	0
Idaho	bonneville	04/22/2020	05/31/2020	0
West Virginia	boone	04/22/2020	06/10/2020	0
Texas	bosque	04/22/2020	05/31/2020	0
Idaho	boundary	04/22/2020	05/31/2020	0
Texas	bowie	04/22/2020	05/31/2020	0.029827673805808863
West Virginia	braxton	04/22/2020	06/10/2020	0
Texas	brazoria	04/22/2020	05/31/2020	0.012194369880480317
Texas	brazos	04/22/2020	05/31/2020	0.06431252757489582
West Virginia	brooke	04/22/2020	06/10/2020	0
Texas	brooks	04/22/2020	05/31/2020	0
Texas	brown	04/22/2020	05/31/2020	0.12968635497807057
North Carolina	brunswick	04/22/2020	05/31/2020	0.03815941881488455
Oklahoma	bryan	04/22/2020	05/21/2020	0.10476158974610988
North Carolina	buncombe	04/22/2020	05/31/2020	0.05267354856682109
North Carolina	burke	04/22/2020	05/31/2020	0.07257451062285283
Texas	burleson	04/22/2020	05/31/2020	0
Texas	burnet	04/22/2020	05/31/2020	0
North Carolina	cabarrus	04/22/2020	05/31/2020	0.04538597495151699
West Virginia	cabell	04/22/2020	06/10/2020	0
Oklahoma	caddo	04/22/2020	05/21/2020	0.09596023385549253
North Carolina	caldwell	04/22/2020	05/31/2020	0.00963665429000707
Texas	caldwell	04/22/2020	05/31/2020	0
Texas	calhoun	04/22/2020	05/31/2020	0.08516864863145693
Texas	callahan	04/22/2020	05/31/2020	0.08357142857142856
